,name,provider,MW_total_power,sqft_total_space,latitude,longitude,zipcode
116,Digital Realty: São Paulo SUM03 Data Center,Digital Realty,20.0,130000.0,-23.4961,-46.75504,14200-000
117,Elea Data Centers: BSB1 Brasília Data Center,Elea Data Centers,,,-15.788539799910135,-47.88601920163078,
118,Digital Realty: São Paulo SUM01 Data Center,Digital Realty,14.0,118000.0,-23.50341,-46.75334,14200-000
119,Digital Realty: São Paulo SUM04 Data Center,Digital Realty,20.0,130000.0,-23.4961,-46.75504,14200-000
120,Digital Realty: São Paulo SUM02 Data Center,Digital Realty,20.0,129000.0,-23.4961,-46.75504,14200-000
121,Kyndryl: Brazil Data Center,Kyndryl,,,-22.922728098017,-47.238293163896,13190-000
122,Vivo Empresas: Vivo Tamboré 1 Data Center,Vivo Empresas,,,-23.464138481516,-46.859049315964,06543-001
123,Novvacore: Sao Paulo Data Center,Novvacore,,,-23.587778510334,-46.670663778982,04508-011
124,Tecto: Mega Lobster,Tecto,,,-3.7285038822947096,-38.46052824461564,60183-100
125,Vivo Empresas: Vivo Rio de Janeiro Data Center,Vivo Empresas,,,-22.901501428756,-43.203965203466,20220-090
126,Vivo Empresas: Vivo Tamboré 2 Data Center,Vivo Empresas,,,-23.464138481516,-46.859049315964,06543-001
127,Vivo Empresas: Vivo Tamboré 3 Data Center,Vivo Empresas,,,-23.464138481516,-46.859049315964,06543-001
128,Tecto: Big Lobster,Tecto,,,-3.735052917029,-38.458391464529,60182-330
129,Ada Infrastructure: Rio de Janeiro Data Center,Ada Infrastructure,50.0,,-23.5901699,-46.68209884093959,04538-132
130,Ada Infrastructure: Sao Paulo Data Center,Ada Infrastructure,100.0,,-23.5901699,-46.68209884093959,04538-132
